Date,Open,High,Low,Close,Adj Close,Volume
2023-08-20 00:00:00,26105.0,26105.0,26105.0,26105.0,26105.0,0.0
2023-08-19 00:00:00,26064.0,26264.0,25805.0,26105.0,26105.0,552300.2819165001
2023-08-18 00:00:00,26606.0,26797.0,25615.0,26030.0,26030.0,1491548.4381079
2023-08-17 00:00:00,28700.0,28758.0,25800.0,26660.0,26660.0,3536343.9065466
2023-08-16 00:00:00,29225.0,29260.0,28741.0,28752.0,28752.0,577585.8990312
2023-08-15 00:00:00,29439.0,29494.0,29071.0,29202.0,29202.0,575499.68119872
2023-08-14 00:00:00,29285.0,29696.0,29101.0,29432.0,29432.0,544296.81227376
2023-08-13 00:00:00,29428.0,29455.0,29271.0,29300.0,29300.0,102932.063503
2023-08-12 00:00:00,29414.0,29482.0,29383.0,29433.0,29433.0,116667.22149045
2023-08-11 00:00:00,29484.0,29550.0,29260.0,29429.0,29429.0,304694.42136135
2023-08-10 00:00:00,29585.0,29735.0,29357.0,29479.0,29479.0,309043.36328495
2023-08-09 00:00:00,29828.0,30131.0,29400.0,29593.0,29593.0,799852.74003677
2023-08-08 00:00:00,29213.0,30200.0,29154.0,29785.0,29785.0,1013451.9408076
2023-08-07 00:00:00,29082.0,29277.0,28700.0,29208.0,29208.0,1009875.37437528
2023-08-06 00:00:00,29059.0,29200.0,28990.0,29090.0,29090.0,153944.2352014
2023-08-05 00:00:00,29123.0,29132.0,29001.0,29078.0,29078.0,1594300.0189235
2023-08-04 00:00:00,29181.0,29311.0,28813.0,29063.0,29063.0,274947.46482571
2023-08-03 00:00:00,29187.0,29429.0,28963.0,29214.0,29214.0,599678.63191566
2023-08-02 00:00:00,29729.0,30025.0,28952.0,29158.0,29158.0,989548.6540386
2023-08-01 00:00:00,29226.0,29700.0,28598.0,29660.0,29660.0,2940210.493564
2023-07-31 00:00:00,29307.0,29500.0,29133.0,29233.0,29233.0,731477.11047022
2023-07-30 00:00:00,29351.0,29442.0,28995.0,29281.0,29281.0,563818.64053788
2023-07-29 00:00:00,29344.0,29398.0,29259.0,29358.0,29358.0,104837.0935941
2023-07-28 00:00:00,29224.0,29528.0,29132.0,29320.0,29320.0,1064961.693836
2023-07-27 00:00:00,29316.0,29548.0,29078.0,29203.0,29203.0,1373730.26151185
2023-07-26 00:00:00,29217.0,29675.0,29102.0,29316.0,29316.0,594804.5115406801
2023-07-25 00:00:00,29169.0,29369.0,29065.0,29221.0,29221.0,349688.40275201004
2023-07-24 00:00:00,30101.0,30101.0,28870.0,29186.0,29186.0,1108527.42391264
2023-07-23 00:00:00,29784.0,30340.0,29771.0,30085.0,30085.0,283772.6883893
2023-07-22 00:00:00,29907.0,29987.0,29627.0,29783.0,29783.0,147693.39128466
2023-07-21 00:00:00,29806.0,30030.0,29734.0,29914.0,29914.0,302527.2160652
2023-07-20 00:00:00,29909.0,30420.0,29572.0,29798.0,29798.0,624786.57208888
2023-07-19 00:00:00,29854.0,30192.0,29788.0,29922.0,29922.0,511399.47020526
2023-07-18 00:00:00,30141.0,30239.0,29513.0,29856.0,29856.0,589887.0287136
2023-07-17 00:00:00,30231.0,30331.0,29665.0,30140.0,30140.0,552353.2057428
2023-07-16 00:00:00,30292.0,30439.0,30058.0,30233.0,30233.0,275667.67299995
2023-07-15 00:00:00,30294.0,30386.0,30238.0,30284.0,30284.0,1478752.73032852
2023-07-14 00:00:00,31461.0,31616.0,29935.0,30315.0,30315.0,1669944.05745255
2023-07-13 00:00:00,30385.0,31800.0,30262.0,31461.0,31461.0,3139795.77686424
2023-07-12 00:00:00,30616.0,30973.0,30224.0,30384.0,30384.0,924989.26031856
2023-07-11 00:00:00,30416.0,30800.0,30313.0,30616.0,30616.0,531509.49264392
2023-07-10 00:00:00,30165.0,31019.0,29939.0,30379.0,30379.0,597373.3355782301
2023-07-09 00:00:00,30311.0,30446.0,30096.0,30139.0,30139.0,143949.47437485
2023-07-08 00:00:00,30329.0,30365.0,30063.0,30262.0,30262.0,282052.6843877
2023-07-07 00:00:00,29886.0,30434.0,29700.0,30332.0,30332.0,493699.78409332
2023-07-06 00:00:00,30497.0,31488.0,29862.0,29885.0,29885.0,2551034.73472925
